device_id,device_type,purchase_date,purchase_year,purchase_month,purchase_month_name,age,expected_age,age_validation_flag,device_age_band,manufacturer,model,country,maintenance_cost_original,maintenance_cost,maintenance_cost_quality_flag,downtime_hours,maintenance_frequency,failure_event_count,failure_flag,failure_status,maintenance_class,maintenance_severity,maintenance_report,failure_type,risk_score,operational_risk_level,replacement_review_flag
MD03449,Defibrillator,2018-04-23,2018,4,April,7,7,Matched,7-9 Years,CardioSync,Model-100,France,7115.349585060145,7115.349585060145,Valid,7.93,3,0,0,No Failure Reported,1,Low,Component component upgrade after detecting overheating; functionality restored. log cleaned low priority fault,Overheating,0,Low,Monitor
MD02024,Infusion Pump,2020-12-10,2020,12,December,5,5,Matched,4-6 Years,MedEquip,Model-650,Italy,7290.780658488662,7290.780658488662,Valid,7.84,3,4,1,Failure Reported,2,Medium,battery wear caused operational delay; replacement initiated. driver update device required inspection,Battery Issue,1,Low,Monitor
MD04239,MRI Scanner,2023-11-22,2023,11,November,2,2,Matched,0-3 Years,ImagingTech,Model-650,France,5635.5217876070055,5635.5217876070055,Valid,13.91,1,2,1,Failure Reported,3,High,data lag caused operational delay; component upgrade initiated. data loss emergency shutdown,General Maintenance,1,Low,Monitor
MD00153,Defibrillator,2021-03-03,2021,3,March,4,4,Matched,4-6 Years,RescueTech,Model-450,UK,5001.360187973189,5001.360187973189,Valid,29.06,3,1,1,Failure Reported,3,High,Routine check completed; battery wear observed during diagnostics. sensor replaced emergency shutdown,Battery Issue,2,Medium,Monitor
MD03743,Defibrillator,2019-05-16,2019,5,May,6,6,Matched,4-6 Years,RescueTech,Model-450,Canada,7555.132927951688,7555.132927951688,Valid,13.94,4,4,1,Failure Reported,2,Medium,Component inspection after detecting voltage spike; functionality restored. driver update moderate delay,Electerical Issue,1,Low,Monitor
MD01925,X-Ray Machine,2019-06-19,2019,6,June,6,6,Matched,4-6 Years,CardioSync,Model-250,UK,11190.79923653013,11190.79923653013,Valid,3.34,4,3,1,Failure Reported,2,Medium,software crash caused operational delay; software patch initiated. reviewed logs performance warning,Software/Data Issue,1,Low,Monitor
MD05194,Defibrillator,2013-09-20,2013,9,September,12,12,Matched,10+Years,RescueTech,Model-600,Japan,4511.50749292888,4511.50749292888,Valid,15.17,1,2,1,Failure Reported,2,Medium,Component recalibration after detecting overheating; functionality restored. component issue device required inspection,Overheating,2,Medium,Monitor
MD05160,Infusion Pump,2023-02-02,2023,2,February,2,2,Matched,0-3 Years,ImagingTech,Model-450,Japan,13615.69324576296,13615.69324576296,Valid,15.4,1,2,1,Failure Reported,3,High,Component replacement after detecting voltage spike; functionality restored. data loss system crash,Electerical Issue,3,Medium,Review for Replacement
MD02451,MRI Scanner,2023-09-22,2023,9,September,2,2,Matched,0-3 Years,MedEquip,Model-550,Canada,6311.195836396027,6311.195836396027,Valid,1.23,2,0,0,No Failure Reported,1,Low,Routine check completed; battery wear observed during diagnostics. log cleaned log file cleared,Battery Issue,0,Low,Monitor
MD01761,Defibrillator,2023-10-14,2023,10,October,2,2,Matched,0-3 Years,ImagingTech,Model-150,Canada,16619.23669164574,16619.23669164574,Valid,25.65,3,0,0,No Failure Reported,3,High,Component firmware update after detecting voltage spike; functionality restored. critical failure urgent inspection needed,Electerical Issue,3,Medium,Review for Replacement
MD04960,MRI Scanner,2014-05-29,2014,5,May,11,11,Matched,10+Years,MedEquip,Model-200,France,-254.71432016722508,254.71432016722508,Negative Cost Corrected,10.43,5,1,1,Failure Reported,3,High,Component recalibration after detecting software crash; functionality restored. sensor replaced critical failure,Sensor Issue,2,Medium,Monitor
MD05200,PET Scanner,2014-01-25,2014,1,January,11,11,Matched,10+Years,RescueTech,Model-650,France,21773.543901087887,21773.543901087887,Valid,7.06,3,1,1,Failure Reported,3,High,Component software patch after detecting data lag; functionality restored. critical failure critical failure,Software/Data Issue,3,Medium,Monitor
MD01507,X-Ray Machine,2014-09-21,2014,9,September,11,11,Matched,10+Years,UltraMed,Model-500,France,8529.633208851754,8529.633208851754,Valid,13.6,4,3,1,Failure Reported,3,High,sensor misalignment caused operational delay; recalibration initiated. critical failure system crash,Sensor Issue,3,Medium,Review for Replacement
MD00528,MRI Scanner,2015-06-06,2015,6,June,10,10,Matched,10+Years,CardioSync,Model-350,UK,11482.620784354973,11482.620784354973,Valid,5.86,2,2,1,Failure Reported,3,High,Routine check completed; software crash observed during diagnostics. sensor replaced system crash,Sensor Issue,2,Medium,Monitor
MD00791,Defibrillator,2020-10-23,2020,10,October,5,5,Matched,4-6 Years,UltraMed,Model-250,Japan,1601.4154808145213,1601.4154808145213,Valid,9.5,2,2,1,Failure Reported,1,Low,Routine check completed; battery wear observed during diagnostics. quick fix stable condition,Battery Issue,0,Low,Monitor
MD01215,Defibrillator,2018-09-14,2018,9,September,7,7,Matched,7-9 Years,ScanPro,Model-150,France,3227.752741036572,3227.752741036572,Valid,1.99,3,2,1,Failure Reported,1,Low,voltage spike caused operational delay; inspection initiated. quick fix low priority fault,Electerical Issue,0,Low,Monitor
MD04973,Infusion Pump,2017-02-04,2017,2,February,8,8,Matched,7-9 Years,UltraMed,Model-550,Canada,4312.01152140355,4312.01152140355,Valid,1.35,2,6,1,Failure Reported,1,Low,circuit failure caused operational delay; firmware update initiated. log cleaned temporary glitch,Electerical Issue,2,Medium,Monitor
MD03055,X-Ray Machine,2018-08-29,2018,8,August,7,7,Matched,7-9 Years,MedEquip,Model-450,Japan,14086.92342673666,14086.92342673666,Valid,8.03,4,1,1,Failure Reported,3,High,Routine check completed; sensor misalignment observed during diagnostics. critical failure urgent inspection needed,Sensor Issue,2,Medium,Monitor
MD04970,CT Scanner,2016-02-28,2016,2,February,9,9,Matched,7-9 Years,ScanPro,Model-600,France,4293.662558742555,4293.662558742555,Valid,1.87,2,4,1,Failure Reported,1,Low,Component recalibration after detecting overheating; functionality restored. software reset quick fix,Overheating,2,Medium,Review for Replacement
MD00875,Infusion Pump,2023-06-09,2023,6,June,2,2,Matched,0-3 Years,RescueTech,Model-150,France,5970.685199377886,5970.685199377886,Valid,8.06,3,9,1,Failure Reported,1,Low,System performance degraded due to abnormal sound; mitigation via system reset. log cleaned temporary glitch,Mechanical Issue,1,Low,Monitor
MD01103,PET Scanner,2023-09-05,2023,9,September,2,2,Matched,0-3 Years,CardioSync,Model-100,Japan,6096.178997657795,6096.178997657795,Valid,15.23,1,3,1,Failure Reported,3,High,software crash caused operational delay; software patch initiated. sensor replaced hardware fault,Sensor Issue,3,Medium,Review for Replacement
MD01087,Defibrillator,2017-12-28,2017,12,December,8,8,Matched,7-9 Years,RescueTech,Model-450,Italy,7327.312595972605,7327.312595972605,Valid,8.88,4,1,1,Failure Reported,1,Low,Routine check completed; abnormal sound observed during diagnostics. minor issue low priority fault,Mechanical Issue,1,Low,Monitor
